agr_code,agr_name,agr_no,agr_refno,agr_add1,agr_add2,agr_add3,agr_add4,agr_sadd1,agr_sadd2,agr_sadd3,agr_sadd4,agr_date,agr_refby,agr_phno1,agr_phno2,agr_phno3,agr_phno4,agr_opbal,baldrcr,security,secdrcr,agr_pers1,agr_pers2,last_agrno,final,group,narr1,narr2,narr3,gtype,billtype,tax,taxtype
HIRE,HIRE A/C,,,,,,,,,,,,,,,,,,C,0.00000,C,,,YES,,,,,,,,,
PURC,PURCHASE A/C,,,,,,,,,,,,,,,,,0.00000,D,0.00000,C,,,YES,,,,,,,,,
STAX,SERVICE TAX A/C,,,,,,,,,,,,,,,,,-1742331.43000,C,0.00000,C,,,YES,,,,,,,,,
TDS,TDS A/C,,,,,,,,,,,,,,,,,58414.00000,D,0.00000,C,,,YES,,,,,,,,,
TDS1,TDS A/C 2,,TDS1/,,,,,,,,,,,,,,,0.00000,D,0.00000,C,,,YES,,,,,,,,,
CART,CARTAGE A/C,,CART/,,,,,,,,,,,,,,,-885240.00000,C,0.00000,C,,,YES,,,CARTAGE A/C,,,,,,
PNB,PANJAB NATIONAL BANK,,,,,,,,,,,,,,,,,7648880.52000,D,0.00000,C,,,YES,,,,,,,,,
LAB,LABOUR A/C,,,,,,,,,,,,,,,,,-14500.00000,C,0.00000,C,,,YES,,,,,,,,,
VKS,VINOD KUMAR & SONS(P)LTD.,112,VKS/112,"10/21,SHAKTI NAGAR",DELHI-110007,"SITE-SIGNATURE RESIDENCY,TRONIKA,UP",,TRONICA CITY,,,,01/01/2009,,,,,,2746410.54000,D,,,,,YES,,,,,,FH,L,,V
MISC,MISC.A/C,,,,,,,,,,,,,,,,,0.00000,D,0.00000,C,,,YES,,,,,,,,,
DRP4,KESAR CONSTRUNCTIONS,124,DRP4/124,"104, ESSKAY PLAZA","PADAV, GWALIOR (M.P.)","SITE-S G R G,LINK ROAD, GWALIOR",,S G R G SITE,"SHIVPURI, LINK ROAD",GWALIOR (M.P.),,01/02/2009,,,,,,4223528.17000,D,0.00000,,,,YES,,DRP,,,,FH,L,,O
MAR1,MARTAND ENGINEERING PVT.,137,MAR1/137,,,,,SITE- REWARI ROHTAK NEW RLY LINE,JHAJJER (HARYANA),,,01/09/2009,,,,,,780778.77000,D,,,,,YES,,MART,,,,FH,L,,C
MAR2,MARTAND ENGIREENING(P)LTD,146,MAR2/146,,,,,SITE-PANIPAT,,,,01/01/2010,,,,,,232848.00000,D,,,,,YES,,MART,,,,FH,L,,C
AI,ARHAM INFRA BUILD LTD.,154,AI/154,"G-1/1521, WAZIR NAGAR,","KOTLA MUBARAKPUR, N. DELHI",SITE- TABADU (HARYANA),,"KMP, TABADU",,,,01/04/2010,,,,,*,1699775.70000,D,,,,,YES,,,,,,FH,L,,V
ERA1,ERA INFRA ENGINEERING LTD,175,ERA1/175,"B-24,SECTOR-3,NOIDA-201301",SITE-HARIDWAR HIGHWAY PROJECT,,,HARIDWAR,,,,01/02/2011,,,,,*,51398.55000,D,,,,,YES,Y,,,,,FH,L,,C
ERA2,ERA INFRA ENGG. LTD,178,ERA2/178,,,,,"D-8, SECOR-8",NOIDA (U.P.),,,01/07/2011,,,,,,2656444.35000,D,,,,,YES,Y,,,,,FH,F,,C
