agr_code,agr_no,item_no,itemname,item_loc,rentrate,broken_chg,agr_qty,agr_date,opening,type,notaxrate
AI,       154,FSP(SLOT),,FSP,87.5,0,,01-Apr-10,134,PP,0
AI,       154,HPRU2*2,,HPROP,87.5,0,,01-Apr-10,18,PP,0
AI,       154,HPRU2*3,,HPROP,110,0,,01-Apr-10,31,PP,0
AI,       154,ICHNL,,ICHNL,61.25,0,,01-Apr-10,32,PP,0
AI,       154,JSTD,,JSTD,0.26,0,,01-Apr-10,120,RMT,0
AI,       154,JSTD0.5M,,JSTD,0.26,0,,01-Apr-10,134,RMT,0
AI,       154,JSTD1*5,,JSTD,0.26,0,,01-Apr-10,110,RMT,0
AI,       154,JSTD1M,,JSTD,0.26,0,,01-Apr-10,273,RMT,0
AI,       154,JSTD2*5,,JSTD,0.26,0,,01-Apr-10,0,RMT,0
AI,       154,JSTD2M,,JSTD,0.26,0,,01-Apr-10,0,RMT,0
AI,       154,KPIPE,,KMSP,1.2,0,,01-Apr-10,0,PC,0
AI,       154,LLDGR1,,LLDGR,0.26,0,,01-Apr-10,0,RMT,0
AI,       154,LLDGR1*5,,LLDGR,0.26,0,,01-Apr-10,0,RMT,0
AI,       154,MBASEPLATE,,MJACK,22,0,,01-Apr-10,54,PP,0
AI,       154,MJACK,,MJACK,22,0,,01-Apr-10,1062,PP,0
AI,       154,NSPYGOT,,NSPGT,8.75,0,,01-Apr-10,395,PP,0
AI,       154,PCOUPLER,,PCLIP,0.2,0,,01-Apr-10,636,PC,0
AI,       154,QCHALLI,,QCHAL,2,0,,01-Apr-10,38,PC,0
AL,       221,HPRU2*3,,HPROP,1.25,0,,30-Nov-13,0,PC,0
AL,       221,JSTD,,JSTD,0.9,0,,30-Nov-13,0,PC,0
AL,       221,JSTD2*5,,JSTD,0.75,0,,30-Nov-13,0,PC,0
AL,       221,KPIPE,,KMSP,1.2,0,,30-Nov-13,0,PC,0
AL,       221,LLDGR 1200,,LLDGR,0.36,0,,30-Nov-13,0,PC,0
AL,       221,LLDGR1*5,,LLDGR,0.45,0,,30-Nov-13,0,PC,0
AL,       221,MBASEPLATE,,MJACK,0.3,0,,30-Nov-13,0,PC,0
AL,       221,NSPYGOT,,NSPGT,0.1,0,,30-Nov-13,0,PC,0
