BillNo_Automatic,Agr_Uni_Code,agr_name,agr_code,agr_no,Item_code,item_Short_name,itemname,Item_group_code,item_group_name,Bill_Date,challanno,issue_qty,recv_qty,irflag,billfr,billto,rate,broken_amt,frshop,froffice,brok_qty,brok_rate,miss_flag,cutcode,cutamt,cartcode,cartamt,narr,prnnarr,b1_rate,b1_qty,b1_amt,b1_narr,b2_rate,b2_qty,b2_amt,b2_narr,b3_rate,b3_qty,b3_amt,b3_narr,misc1,misc2,misc3,misc4,misc5,misc6,SNO,Contact_Prs_Ph,Transporter_Name,Gr_No,VehicleNo,Driver_Name,DL_No,Permit_no,Contact_Prs_Ph_No,Apx_weight,Apx_value,bill_Enter_Date,Trip_No,b4_rate,b4_qty,b4_amt,b4_narr,b5_rate,b5_qty,b5_amt,b5_narr,b6_rate,b6_qty,b6_amt,b6_narr,b7_rate,b7_qty,b7_amt,b7_narr,b8_rate,b8_qty,b8_amt,b8_narr,b9_rate,b9_qty,b9_amt,b9_narr,b10_rate,b10_qty,b10_amt,b10_narr,Bill_Amt,rec_type,Tnx_type,UNIT_NAME,ItemType,Tax_Code,Tax_Name,Tax_Per,Tax_Amt,Dis_Per,Dis_Amt,Gross_Amt,Tot_Qty,B_Add_Off_Site,B_HSN_Code,B_GST_Type,B_State_Code,B_Tax_YN,B_IGST_Per,B_IGST_Amt,B_SGST_Per,B_SGST_Amt,B_CGST_Per,B_CGST_Amt,B_Reverse_Charge,B_Electronic_Ref_No,B_REF_2,Weight_Per_pcs,Tot_Weight_of_pcs,Manual_BillNo,ORDNO,ORD_DATE,Trx_CODE,Trx_Name,PKG,C_FORM,NET_AMT,tot_amt,Transporter_Code,Fraight,remark,site_add,TODO,AMT_IN_WOR,DUEDATE,ROUNDOFF,station_Name,Qty_Kg,Tot_Kg
1,279,M/S SHIVA CONSTEACH PVT. LTD.,SHIVAUPNEW,OH,5,sHORT NAME,CHALLI,2,CHALLIS,04/04/2023,1,0,95,R,,,900,,0,95,,,,MISC A/C,12000,CARTAGE A/C,7000,,,0,0,0,  ,0,0,0,  ,0,0,0,  ,,,,,,,1,,,,,,,,,,,02-May-23,1,0,0,0,  ,0,0,0,  ,0,0,0,  ,0,0,0,  ,0,0,0,  ,0,0,0,  ,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,279,M/S SHIVA CONSTEACH PVT. LTD.,SHIVAUPNEW,OH,30,sHORT NAME,INNER 4.0 MTR PROP,12,PROPS,04/04/2023,1,0,30,R,,,0,,0,30,,,,MISC A/C,12000,CARTAGE A/C,7000,,,0,0,0,  ,0,0,0,  ,0,0,0,  ,,,,,,,2,,,,,,,,,,,02-May-23,1,0,0,0,  ,0,0,0,  ,0,0,0,  ,0,0,0,  ,0,0,0,  ,0,0,0,  ,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,308,GULERMAK- TPL PUNE METRO JOINT VENTURE,GULERMAK3,OH,11,sHORT NAME,LEDGER 1.2 METER,5,LEDGER,07/04/2023,1,950,0,I,,,10,,0,950,,,,MISC A/C,0,CARTAGE A/C,88800,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,01-May-23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,997313,IGST,27        ,N,18,0,0,0,0,0,NO,NO,B_REF_2,,,,,,,,,,,,,,,,,,,,,,
1,279,M/S SHIVA CONSTEACH PVT. LTD.,SHIVAUPNEW,OH,43,sHORT NAME,SPIGOT [JOINT] PIN,15,SPYGOT,04/04/2023,1,0,21,R,,,0,,0,21,,,,MISC A/C,12000,CARTAGE A/C,7000,,,0,0,0,  ,0,0,0,  ,0,0,0,  ,,,,,,,3,,,,,,,,,,,02-May-23,1,0,0,0,  ,0,0,0,  ,0,0,0,  ,0,0,0,  ,0,0,0,  ,0,0,0,  ,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,279,M/S SHIVA CONSTEACH PVT. LTD.,SHIVAUPNEW,OH,46,sHORT NAME,STANDARD 1.0 METER,16,STANDARD,04/04/2023,1,0,140,R,,,10,,0,140,,,,MISC A/C,12000,CARTAGE A/C,7000,,,0,0,0,  ,0,0,0,  ,0,0,0,  ,,,,,,,4,,,,,,,,,,,02-May-23,1,0,0,0,  ,0,0,0,  ,0,0,0,  ,0,0,0,  ,0,0,0,  ,0,0,0,  ,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,308,GULERMAK- TPL PUNE METRO JOINT VENTURE,GULERMAK3,OH,46,sHORT NAME,STANDARD 1.0 METER,16,STANDARD,07/04/2023,1,119,0,I,,,10,,0,119,,,,MISC A/C,0,CARTAGE A/C,88800,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,01-May-23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,997313,IGST,27        ,N,18,0,0,0,0,0,NO,NO,B_REF_2,,,,,,,,,,,,,,,,,,,,,,
1,279,M/S SHIVA CONSTEACH PVT. LTD.,SHIVAUPNEW,OH,48,sHORT NAME,STANDARD 2.0 METER,16,STANDARD,04/04/2023,1,0,85,R,,,10,,0,85,,,,MISC A/C,12000,CARTAGE A/C,7000,,,0,0,0,  ,0,0,0,  ,0,0,0,  ,,,,,,,5,,,,,,,,,,,02-May-23,1,0,0,0,  ,0,0,0,  ,0,0,0,  ,0,0,0,  ,0,0,0,  ,0,0,0,  ,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,308,GULERMAK- TPL PUNE METRO JOINT VENTURE,GULERMAK3,OH,47,sHORT NAME,STANDARD 2.5 METER,16,STANDARD,07/04/2023,1,110,0,I,,,10,,0,110,,,,MISC A/C,0,CARTAGE A/C,88800,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,01-May-23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,997313,IGST,27        ,N,18,0,0,0,0,0,NO,NO,B_REF_2,,,,,,,,,,,,,,,,,,,,,,
1,308,GULERMAK- TPL PUNE METRO JOINT VENTURE,GULERMAK3,OH,50,sHORT NAME,STANDARD 3.0 METER,16,STANDARD,07/04/2023,1,1300,0,I,,,10,,0,1300,,,,MISC A/C,0,CARTAGE A/C,88800,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,01-May-23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,997313,IGST,27        ,N,18,0,0,0,0,0,NO,NO,B_REF_2,,,,,,,,,,,,,,,,,,,,,,
1,279,M/S SHIVA CONSTEACH PVT. LTD.,SHIVAUPNEW,OH,64,sHORT NAME,STEEL PLATES 3 X 2,19,STEEL PLATES,04/04/2023,1,0,37,R,,,0,,0,37,,,,MISC A/C,12000,CARTAGE A/C,7000,,,0,0,0,  ,0,0,0,  ,0,0,0,  ,,,,,,,6,,,,,,,,,,,02-May-23,1,0,0,0,  ,0,0,0,  ,0,0,0,  ,0,0,0,  ,0,0,0,  ,0,0,0,  ,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
