pcode,agr_code,agr_name,agr_no,item_code,item_short_name,itemname,item_group_code,item_group_name,mix_item_yes_no,rentrate,broken_chg,agr_qty,agr_date,opening_qty,type,missing_rate,s_no,rate_of_one_pcs
159,KARNAL,NDCC PROJECTS ( OPC ) PRIVATE LIMITED,157,68,MJACK,U HEAD JACK,22,U JACK,N,0.1,0,1000,01-01-1999,0,PC,0,20,
159,KARNAL,NDCC PROJECTS ( OPC ) PRIVATE LIMITED,157,64,FSP3*2,STEEL PLATES 3 X 2,19,STEEL PLATES,N,0.6,0,1000,01-01-1999,0,PC,0,19,
159,KARNAL,NDCC PROJECTS ( OPC ) PRIVATE LIMITED,157,61,FSP3*1.5,STEEL PLATE3 X 1.5,19,STEEL PLATES,N,0.5,0,1000,01-01-1999,4,PC,0,18,
159,KARNAL,NDCC PROJECTS ( OPC ) PRIVATE LIMITED,157,49,JSTD3.5,STANDARD 3.5 METER,16,STANDARD,N,0.6,0,1000,01-01-1999,0,PC,0,17,
159,KARNAL,NDCC PROJECTS ( OPC ) PRIVATE LIMITED,157,50,JSTD,STANDARD 3.0 METER,16,STANDARD,N,0.51,0,1000,01-01-1999,2,PC,0,16,
159,KARNAL,NDCC PROJECTS ( OPC ) PRIVATE LIMITED,157,47,JSTD2*5,STANDARD 2.5 METER,16,STANDARD,N,0.43,0,1000,01-01-1999,0,PC,0,15,
159,KARNAL,NDCC PROJECTS ( OPC ) PRIVATE LIMITED,157,48,JSTD2M,STANDARD 2.0 METER,16,STANDARD,N,0.34,0,1000,01-01-1999,0,PC,0,14,
159,KARNAL,NDCC PROJECTS ( OPC ) PRIVATE LIMITED,157,45,JSTD1*5,STANDARD 1.5 METER,16,STANDARD,N,0.25,0,1000,01-01-1999,0,PC,0,13,
159,KARNAL,NDCC PROJECTS ( OPC ) PRIVATE LIMITED,157,46,JSTD1M,STANDARD 1.0 METER,16,STANDARD,N,0.17,0,1000,01-01-1999,0,PC,0,12,
159,KARNAL,NDCC PROJECTS ( OPC ) PRIVATE LIMITED,157,44,JSTD0.5M,STANDARD 0.5 METER,16,STANDARD,N,0.17,0,1000,01-01-1999,0,PC,0,11,
159,KARNAL,NDCC PROJECTS ( OPC ) PRIVATE LIMITED,157,43,NSPYGOT,SPIGOT [JOINT] PIN,15,SPYGOT,y,0.1,0,1000,01-01-1999,51,PC,0,10,
159,KARNAL,NDCC PROJECTS ( OPC ) PRIVATE LIMITED,157,79,HPRU3*3,PROP 3X3,12,PROPS,Y,2,0,1000,01-01-1999,0,PC,0,9,
159,KARNAL,NDCC PROJECTS ( OPC ) PRIVATE LIMITED,157,33,HPRU2*3,MS PROPS 2MX3M,12,PROPS,Y,1,0,1000,01-01-1999,0,PC,0,8,
159,KARNAL,NDCC PROJECTS ( OPC ) PRIVATE LIMITED,157,32,HPRU2*2,MS PROPS 2MX2M,12,PROPS,Y,0.7,0,1000,01-01-1999,21,PC,0,7,
159,KARNAL,NDCC PROJECTS ( OPC ) PRIVATE LIMITED,157,17,ICHNL,M S CHANNEL,21,U CHANNEL,N,0.7,0,1000,01-01-1999,0,PC,0,6,
159,KARNAL,NDCC PROJECTS ( OPC ) PRIVATE LIMITED,157,10,LLDGR1*5,LEDGER 1.5 METER,5,LEDGER,N,0.26,0,1000,01-01-1999,45,PC,0,5,
159,KARNAL,NDCC PROJECTS ( OPC ) PRIVATE LIMITED,157,11,LLDGR 1200,LEDGER 1.2 METER,5,LEDGER,N,0.2,0,1000,01-01-1999,39,PC,0,4,
159,KARNAL,NDCC PROJECTS ( OPC ) PRIVATE LIMITED,157,12,LLDGR1,LEDGER 1.0 METER,5,LEDGER,N,0.17,0,1000,01-01-1999,19,PC,0,3,
159,KARNAL,NDCC PROJECTS ( OPC ) PRIVATE LIMITED,157,5,QCHALLI,CHALLI,2,CHALLIS,N,1.5,0,1000,01-01-1999,0,PP,0,2,
159,KARNAL,NDCC PROJECTS ( OPC ) PRIVATE LIMITED,157,1,MBASEPLATE,BASE PLATE JACK,22,U JACK,N,0.15,0,1000,01-01-1999,10,PC,0,1,
227,SHIVAM,SHIVAM ENGGCON PRIVATE LIMITED,222,68,MJACK,U HEAD JACK,22,U JACK,N,0.2,0,0,01-01-1999,14,PC,0,10,
227,SHIVAM,SHIVAM ENGGCON PRIVATE LIMITED,222,6,PCOUPLER,SWIVEL COUPLER,3,COUPLER,N,0.25,0,0,01-01-1999,0,PC,0,9,
227,SHIVAM,SHIVAM ENGGCON PRIVATE LIMITED,222,50,JSTD,STANDARD 3.0 METER,16,STANDARD,N,0.6,0,0,01-01-1999,0,PC,0,8,
227,SHIVAM,SHIVAM ENGGCON PRIVATE LIMITED,222,47,JSTD2*5,STANDARD 2.5 METER,16,STANDARD,N,0.5,0,0,01-01-1999,0,PC,0,7,
227,SHIVAM,SHIVAM ENGGCON PRIVATE LIMITED,222,32,HPRU2*2,PROPS 2MX2M,12,PROPS,Y,0.8,0,0,01-01-1999,0,PC,0,6,
227,SHIVAM,SHIVAM ENGGCON PRIVATE LIMITED,222,33,HPRU2*3,MS PROPS 2MX3M,12,PROPS,Y,1,0,0,01-01-1999,0,PC,0,5,
227,SHIVAM,SHIVAM ENGGCON PRIVATE LIMITED,222,10,LLDGR1*5,LEDGER 1.5 METER,5,LEDGER,N,0.3,0,0,01-01-1999,6,PC,0,4,
227,SHIVAM,SHIVAM ENGGCON PRIVATE LIMITED,222,12,LLDGR1,LEDGER 1.0 METER,5,LEDGER,N,0.2,0,0,01-01-1999,0,PC,0,3,
227,SHIVAM,SHIVAM ENGGCON PRIVATE LIMITED,222,5,QCHALLI,CHALLI,2,CHALLIS,N,1.5,0,0,01-01-1999,5,PC,0,2,
227,SHIVAM,SHIVAM ENGGCON PRIVATE LIMITED,222,1,MBASEPLATE,BASE PLATE JACK,22,U JACK,N,0.2,0,0,01-01-1999,14,PC,0,1,
228,TECHNO,TECHNO CONSTRUCTION,223,68,MJACK,U HEAD JACK,22,U JACK,N,0.3,0,0,01-01-1999,0,PC,0,32,
228,TECHNO,TECHNO CONSTRUCTION,223,65,FSP4*1,STEEL PLATES 4 X 1,19,STEEL PLATES,N,1,0,5000,01-01-1999,0,PC,0,31,
228,TECHNO,TECHNO CONSTRUCTION,223,64,FSP3*2,STEEL PLATES 3 X 2,19,STEEL PLATES,N,1,0,5000,01-01-1999,0,PC,0,30,
228,TECHNO,TECHNO CONSTRUCTION,223,61,FSP3*1.5,STEEL PLATE3 X 1.5,19,STEEL PLATES,N,1,0,5000,01-01-1999,0,PC,0,29,
228,TECHNO,TECHNO CONSTRUCTION,223,60,FSP3*1,STEEL PLATE3 X 1,19,STEEL PLATES,N,1,0,5000,01-01-1999,0,PC,0,28,
228,TECHNO,TECHNO CONSTRUCTION,223,63,FSP3*6,STEEL PLATE3 X 0.5,19,STEEL PLATES,N,1,0,5000,01-01-1999,0,PC,0,27,
228,TECHNO,TECHNO CONSTRUCTION,223,56,FSP4*1.5,STEEL PLATE 4 X 1.5,19,STEEL PLATES,N,1,0,5000,01-01-1999,0,PC,0,26,
228,TECHNO,TECHNO CONSTRUCTION,223,55,FSP3*9,STEEL PLATE 3X 0.75,19,STEEL PLATES,N,0.7,0,0,01-01-1999,0,PC,0,25,
228,TECHNO,TECHNO CONSTRUCTION,223,50,JSTD,STANDARD 3.0 METER,16,STANDARD,N,0.9,0,0,01-01-1999,0,PC,0,24,
228,TECHNO,TECHNO CONSTRUCTION,223,47,JSTD2*5,STANDARD 2.5 METER,16,STANDARD,N,0.75,0,0,01-01-1999,0,PC,0,23,
228,TECHNO,TECHNO CONSTRUCTION,223,48,JSTD2M,STANDARD 2.0 METER,16,STANDARD,N,0.6,0,0,01-01-1999,0,PC,0,22,
228,TECHNO,TECHNO CONSTRUCTION,223,45,JSTD1*5,STANDARD 1.5 METER,16,STANDARD,N,0.45,0,0,01-01-1999,0,PC,0,21,
228,TECHNO,TECHNO CONSTRUCTION,223,46,JSTD1M,STANDARD 1.0 METER,16,STANDARD,N,0.3,0,0,01-01-1999,0,PC,0,20,
228,TECHNO,TECHNO CONSTRUCTION,223,43,NSPYGOT,SPIGOT [JOINT] PIN,15,SPYGOT,y,0.3,0,0,01-01-1999,0,PC,0,19,
228,TECHNO,TECHNO CONSTRUCTION,223,42,MSPAN3*3,SPAN OUTER 3.0 METER,13,SPAN,N,0.75,0,0,01-01-1999,0,PC,0,18,
228,TECHNO,TECHNO CONSTRUCTION,223,41,MSPAN2*2,SPAN OUTER 2.0 METER,13,SPAN,N,0.5,0,50000,01-01-1999,0,PC,0,17,
228,TECHNO,TECHNO CONSTRUCTION,223,40,MSPAN1*3,SPAN INNER 2.0 METER,13,SPAN,N,0.5,0,5000,01-01-1999,0,PC,0,16,
228,TECHNO,TECHNO CONSTRUCTION,223,32,HPRU2*2,PROPS 2MX2M,12,PROPS,Y,1,0,5000,01-01-1999,0,PC,0,15,
228,TECHNO,TECHNO CONSTRUCTION,223,79,HPRU3*3,PROP 3X3,12,PROPS,Y,2,0,5000,01-01-1999,0,PC,0,14,
228,TECHNO,TECHNO CONSTRUCTION,223,82,PROP 1.5*1.5,PROP 1.5*1.5,12,PROPS,,1,0,0,01-01-1999,0,PC,0,13,
228,TECHNO,TECHNO CONSTRUCTION,223,83,OUTER1M,OUTER 1.5,12,PROPS,n,0.5,0,0,01-01-1999,0,PC,0,12,
228,TECHNO,TECHNO CONSTRUCTION,223,84,OUTER1,OUTER 1 MTR,12,PROPS,n,0.5,0,0,01-01-1999,0,PC,0,11,
228,TECHNO,TECHNO CONSTRUCTION,223,33,HPRU2*3,MS PROPS 2MX3M,12,PROPS,Y,1.25,0,5000,01-01-1999,0,PC,0,10,
228,TECHNO,TECHNO CONSTRUCTION,223,17,ICHNL,M S CHANNEL,21,U CHANNEL,N,1,0,5000,01-01-1999,0,PC,0,9,
228,TECHNO,TECHNO CONSTRUCTION,223,10,LLDGR1*5,LEDGER 1.5 METER,5,LEDGER,N,0.45,0,0,01-01-1999,0,PC,0,8,
228,TECHNO,TECHNO CONSTRUCTION,223,11,LLDGR 1200,LEDGER 1.2 METER,5,LEDGER,N,0.36,0,0,01-01-1999,0,PC,0,7,
228,TECHNO,TECHNO CONSTRUCTION,223,12,LLDGR1,LEDGER 1.0 METER,5,LEDGER,N,0.3,0,0,01-01-1999,0,PC,0,6,
228,TECHNO,TECHNO CONSTRUCTION,223,30,HPRBIN4,INNER 4.0 MTR PROP,12,PROPS,N,1.6,0,5000,01-01-1999,0,PC,0,5,
228,TECHNO,TECHNO CONSTRUCTION,223,29,HPRBIN3,INNER 3.0 MTR PROP,23,PROP 2*2,N,0.75,0,0,01-01-1999,0,PC,0,4,
228,TECHNO,TECHNO CONSTRUCTION,223,8,GHUGGU,COUPLER,3,COUPLER,N,0.3,0,0,01-01-1999,0,PC,0,3,
228,TECHNO,TECHNO CONSTRUCTION,223,5,QCHALLI,CHALLI,2,CHALLIS,N,2,0,0,01-01-1999,0,PC,0,2,
228,TECHNO,TECHNO CONSTRUCTION,223,1,MBASEPLATE,BASE PLATE JACK,22,U JACK,N,0.3,0,0,01-01-1999,0,PC,0,1,
229,SHREECONS,M/S SHREE CONSTRUCTION,224,68,MJACK,U HEAD JACK,22,U JACK,N,0.25,0,0,01-01-1999,0,PC,0,24,
229,SHREECONS,M/S SHREE CONSTRUCTION,224,61,FSP3*1.5,STEEL PLATE3 X 1.5,19,STEEL PLATES,N,0.7,0,0,01-01-1999,30,PC,0,23,
229,SHREECONS,M/S SHREE CONSTRUCTION,224,60,FSP3*1,STEEL PLATE3 X 1,19,STEEL PLATES,N,0.7,0,0,01-01-1999,40,PC,0,22,
229,SHREECONS,M/S SHREE CONSTRUCTION,224,62,FNSP3*2,STEEL PLATE 3 X 2,19,STEEL PLATES,N,0.7,0,0,01-01-1999,510,PC,0,21,
229,SHREECONS,M/S SHREE CONSTRUCTION,224,50,JSTD,STANDARD 3.0 METER,16,STANDARD,N,0.75,0,50000,01-01-1999,0,PC,0,20,
229,SHREECONS,M/S SHREE CONSTRUCTION,224,47,JSTD2*5,STANDARD 2.5 METER,16,STANDARD,N,0.62,0,0,01-01-1999,0,PC,0,19,
229,SHREECONS,M/S SHREE CONSTRUCTION,224,48,JSTD2M,STANDARD 2.0 METER,16,STANDARD,N,0.5,0,50000,01-01-1999,0,PC,0,18,
229,SHREECONS,M/S SHREE CONSTRUCTION,224,45,JSTD1*5,STANDARD 1.5 METER,16,STANDARD,N,0.38,0,0,01-01-1999,0,PC,0,17,
229,SHREECONS,M/S SHREE CONSTRUCTION,224,46,JSTD1M,STANDARD 1.0 METER,16,STANDARD,N,0.25,0,0,01-01-1999,0,PC,0,16,
229,SHREECONS,M/S SHREE CONSTRUCTION,224,44,JSTD0.5M,STANDARD 0.5 METER,16,STANDARD,N,0.25,0,0,01-01-1999,0,PC,0,15,
229,SHREECONS,M/S SHREE CONSTRUCTION,224,43,NSPYGOT,SPIGOT [JOINT] PIN,15,SPYGOT,y,0.1,0,0,01-01-1999,0,PC,0,14,
229,SHREECONS,M/S SHREE CONSTRUCTION,224,42,MSPAN3*3,SPAN OUTER 3.0 METER,13,SPAN,N,0.6,0,0,01-01-1999,0,PC,0,13,
229,SHREECONS,M/S SHREE CONSTRUCTION,224,31,HPRBOUT,SPAN OUTER 2.0 METER,12,PROPS,N,0.4,0,0,01-01-1999,997,PC,0,12,
229,SHREECONS,M/S SHREE CONSTRUCTION,224,32,HPRU2*2,PROPS 2MX2M,12,PROPS,Y,0,0,50000,01-01-1999,0,PC,0,11,
229,SHREECONS,M/S SHREE CONSTRUCTION,224,79,HPRU3*3,PROP 3X3,12,PROPS,Y,2,0,50000,01-01-1999,0,PC,0,10,
